電影名稱,圖片連結,評分,類型
7号房的礼物 - 7번방의 선물,https://p1.meituan.net/movie/a53a0200eba15ba483c905c872db9bf4331099.jpg@464w_644h_1e_1c,8.8,"剧情, 喜剧, 家庭"
爱·回家 - 집으로...,https://p0.meituan.net/movie/de1142a5dceb901eb939eb0bcfc2f88470909.jpg@464w_644h_1e_1c,9.1,"剧情, 家庭"
龙猫 - となりのトトロ,https://p0.meituan.net/movie/c304c687e287c7c2f9e22cf78257872d277201.jpg@464w_644h_1e_1c,9.1,"动画, 冒险, 奇幻, 家庭"
七武士 - 七人の侍,https://p1.meituan.net/movie/4ffca83fd972f71e291f8ea8d78a4b58594878.jpg@464w_644h_1e_1c,8.8,"剧情, 动作, 冒险"
美国往事 - Once Upon a Time in America,https://p1.meituan.net/movie/92198a6fc8c3f5d13aa1bdf203572c0f99438.jpg@464w_644h_1e_1c,8.8,"剧情, 犯罪"
完美的世界 - A Perfect World,https://p1.meituan.net/movie/30310858fdab34c7a17cfd7ec8ad8bfc112201.jpg@464w_644h_1e_1c,8.8,"剧情, 犯罪"
上帝之城 - Cidade de Deus,https://p1.meituan.net/movie/b553d13f30100db731ab6cf45668e52d94703.jpg@464w_644h_1e_1c,8.8,"剧情, 犯罪"
辩护人 - 변호인,https://p0.meituan.net/movie/1433d81b10d116239dbbf02a06ac3c19265682.jpg@464w_644h_1e_1c,8.8,剧情
忠犬八公物语 - ハチ公物語,https://p0.meituan.net/movie/2d42e00d7ee59ff5bd574f93b8558aa726665.jpg@464w_644h_1e_1c,8.8,剧情
海豚湾 - The Cove,https://p0.meituan.net/movie/eb2ea56996f21e7fb47b1a0736c7f177258901.jpg@464w_644h_1e_1c,8.8,纪录片
英雄本色 - A Better Tomorrow,https://p0.meituan.net/movie/3e5f5f3aa4b7e5576521e26c2c7c894d253975.jpg@464w_644h_1e_1c,8.8,"剧情, 动作, 犯罪"
恐怖直播 - 더 테러 라이브,https://p0.meituan.net/movie/1da0af2570fe697d38c4a37fdfded19b254936.jpg@464w_644h_1e_1c,8.8,"剧情, 悬疑, 犯罪"
窃听风暴 - Das Leben der Anderen,https://p0.meituan.net/movie/3985eaf3858bea0f2a3d966bf7ee2103178217.jpg@464w_644h_1e_1c,8.8,"剧情, 悬疑"
时空恋旅人 - About Time,https://p0.meituan.net/movie/6d8491386d07cda91967a6fbbd0d0788294693.jpg@464w_644h_1e_1c,8.8,"喜剧, 爱情, 奇幻"
